SPEKAER_ID; TEXTS; FREELOCCODE; AREA; COUNTY; LOC; SPEAKER_AGE; SPEAKER_DOB; SPEAKER_DECADE; SPEKAER_SEX; REC_DATE; REC_DECADE; EEXTENT; R
IBHP ; SAL_037 ; Mid Shropshire Madeley ; Mid ; Shropshire ; Madeley ; 69 ; 1915 ; 191 ; m ; 1984 ; 197 ; 3436
IBJP ; SAL_038 ; Mid Shropshire Lawley ; Mid ; Shropshire ; Lawley ; 73 ; 1906 ; 190 ; m ; 1979 ; 198 ; 6142
IBEP ; SAL_039 ; Mid Shropshire Farley ; Mid ; Shropshire ; Farley ; 81 ; 1905 ; 190 ; m ; 1986 ; 197 ; 5528
Wal128LG ; WAR_001 ; Mid Warwickshire Walsall ; Mid ; Warwickshire ; Walsall ;  ;  ;  ; m ;  ; 198 ; 8176
WAR001unknown ; WAR_001 ; Mid Warwickshire Walsall ; Mid ; Warwickshire ; Walsall ;  ;  ;  ;  ;  ; 198 ; 
DurML ; DUR_001 ; N Durham Birtley ; N ; Durham ; Birtley ;  ;  ; 191 ; m ;  ;  ; 9094
DurNB ; DUR_002 ; N Durham Hartlepool ; N ; Durham ; Hartlepool ; 77 ; 1908 ; 190 ; m ; 1985 ; 198 ; 7927
DurEL ; DUR_003 ; N Durham Hartlepool ; N ; Durham ; Hartlepool ;  ; 1897 ; 189 ; f ;  ; 198 ; 9595
LanD1B ; LAN_001 ; N Lancashire Barrow ; N ; Lancashire ; Barrow ; 76 ; 1899 ; 189 ; f ; 1975 ; 198 ; 11426
LAN002 ; LAN_002 ; N Lancashire Barrow ; N ; Lancashire ; Barrow ; 83 ; 1892 ; 189 ; f ; 1975 ; 197 ; 9347
thirdperson ; LAN_002 ; N Lancashire Barrow ; N ; Lancashire ; Barrow ;  ;  ;  ; f ; 1975 ; 197 ; 
Lang1p ; LAN_003 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 76 ; 1903 ; 190 ; m ; 1979 ; 197 ; 9453
LanW1P ; LAN_004 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 80 ; 1899 ; 189 ; f ; 1979 ; 197 ; 9015
LanC5P ; LAN_005 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 61 ; 1919 ; 191 ; f ; 1980 ; 197 ; 10763
LanD1P ; LAN_006 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 71 ; 1908 ; 190 ; f ; 1979 ; 198 ; 10100
LanF1P ; LAN_007 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 73 ; 1906 ; 190 ; m ; 1979 ; 197 ; 8594
LanT3P ; LAN_008 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 93 ; 1886 ; 188 ; m ; 1979 ; 197 ; 10203
LanH1P ; LAN_009 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 67 ; 1911 ; 191 ; f ; 1978 ; 197 ; 11122
H3L ; LAN_010 ; N Lancashire Preston ; N ; Lancashire ; Preston ; 71 ; 1904 ; 190 ; m ; 1975 ; 197 ; 9688
MH3L ; LAN_010 ; N Lancashire Preston ; N ; Lancashire ; Preston ;  ;  ;  ; f ; 1975 ; 197 ; 27
LanMJ ; LAN_011 ; N Lancashire Crompton ; N ; Lancashire ; Crompton ; 47 ; 1930 ; 193 ; f ; 1977 ; 197 ; 13679
LanEG ; LAN_012 ; N Lancashire Prescott ; N ; Lancashire ; Prescott ; 71 ; 1906 ; 190 ; m ; 1977 ; 197 ; 28001
LanPK ; LAN_013 ; N Lancashire Prescott ; N ; Lancashire ; Prescott ; 62 ; 1914 ; 191 ; m ; 1976 ; 197 ; 727
LanCD ; LAN_014 ; N Lancashire Huyton ; N ; Lancashire ; Huyton ; 63 ; 1913 ; 191 ; m ; 1976 ; 197 ; 54
WigMWH ; LAN_015 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 56 ; 1926 ; 192 ; m ; 1982 ; 197 ; 6634
WigMS ; LAN_016 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 82 ; 1899 ; 189 ; f ; 1981 ; 198 ; 4283
WigMB ; LAN_017 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 78 ; 1904 ; 190 ; f ; 1982 ; 198 ; 3055
WigPS ; LAN_018 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 35 ; 1946 ; 194 ; f ; 1981 ; 198 ; 926
WigHT ; LAN_019 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 37 ; 1945 ; 194 ; m ; 1982 ; 198 ; 6267
WigM ; LAN_019 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ;  ;  ;  ; f ; 1982 ; 198 ; 59
WigWHJ ; LAN_020 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 76 ; 1906 ; 190 ; m ; 1982 ; 198 ; 14958
WigJH ; LAN_021 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 53 ; 1929 ; 192 ; m ; 1982 ; 198 ; 615
WigGRB ; LAN_022 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 56 ; 1925 ; 192 ; f ; 1981 ; 198 ; 7764
WigWO ; LAN_023 ; N Lancashire Wigan ; N ; Lancashire ; Wigan ; 73 ; 1909 ; 190 ; m ; 1982 ; 198 ; 8807
NblWL ; NBL_001 ; N Northumberland Cammerse ; N ; Northumberland ; Cammerse ; 80 ; 1891 ; 189 ; m ; 1971 ; 198 ; 395
NblMN ; NBL_003 ; N Northumberland Choppington ; N ; Northumberland ; Choppington ; 83 ; 1890 ; 189 ; f ; 1973 ; 197 ; 7885
NblJB ; NBL_006 ; N Northumberland Fenwick_Steads ; N ; Northumberland ; Fenwick_Steads ;  ;  ; 189 ; f ; 1975 ; 197 ; 8491
NblAR ; NBL_007 ; N Northumberland Swarland ; N ; Northumberland ; Swarland ; 83 ; 1891 ; 189 ; m ; 1974 ; 197 ; 8502
NblAn ; NBL_007 ; N Northumberland Swarland ; N ; Northumberland ; Swarland ;  ;  ;  ; f ; 1974 ; 197 ; 36
NblGS ; NBL_008 ; N Northumberland Fenwick_Steads ; N ; Northumberland ; Fenwick_Steads ;  ;  ;  ;  ; 1974 ; 197 ; 3215
WesAD ; WES_001 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 84 ; 1896 ; 189 ; f ; 1980 ; 197 ; 10252
WesAE ; WES_002 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 76 ; 1905 ; 190 ; m ; 1981 ; 198 ; 4650
WesAQ ; WES_003 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 84 ; 1898 ; 189 ; m ; 1982 ; 198 ; 4538
WesAY ; WES_004 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 79 ; 1905 ; 190 ; m ; 1984 ; 198 ; 7514
WesBE ; WES_005 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 74 ; 1910 ; 191 ; m ; 1984 ; 198 ; 11022
WesBL ; WES_006 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 84 ; 1901 ; 190 ; f ; 1985 ; 198 ; 3051
WesBP ; WES_007 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 73 ; 1912 ; 191 ; f ; 1985 ; 198 ; 4749
WesBR ; WES_008 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 78 ; 1908 ; 190 ; m ; 1986 ; 198 ; 10527
WesBX ; WES_009 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 79 ; 1907 ; 190 ; m ; 1986 ; 198 ; 5618
WesCB ; WES_010 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 73 ; 1914 ; 191 ; m ; 1987 ; 198 ; 7862
WesCE ; WES_011 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 85 ; 1902 ; 190 ; m ; 1987 ; 198 ; 1927
WesCEa ; WES_011 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ;  ;  ; 192 ; m ; 1987 ; 198 ; 1263
WesCU ; WES_012 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 90 ; 1899 ; 189 ; f ; 1989 ; 198 ; 6211
WesCY ; WES_013 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 85 ; 1904 ; 190 ; f ; 1989 ; 198 ; 3191
WesDA ; WES_014 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ;  ;  ;  ; m ; 1989 ; 198 ; 5473
WesDB ; WES_015 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 83 ; 1906 ; 190 ; f ; 1989 ; 198 ; 5464
WesDT ; WES_016 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 80 ; 1911 ; 191 ; f ; 1991 ; 198 ; 13473
WesDX ; WES_017 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 81 ; 1910 ; 191 ; m ; 1991 ; 199 ; 22800
WesAnon ; WES_017 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ;  ;  ;  ; f ; 1991 ; 199 ; 20
WesHN ; WES_018 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 77 ; 1922 ; 192 ; m ; 1999 ; 199 ; 5064
WesJN ; WES_018 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ;  ;  ;  ; f ; 1999 ; 199 ; 105
WesZb ; WES_019 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 70 ; 1910 ; 191 ; m ; 1980 ; 199 ; 11876
